UNITID,SAT_AVG,C100_4,PCIP52,PCIP24,PCIP50,PCIP11,PCIP47,PCIP39,PCIP43,PCIP15,PCIP13,PCIP09,PCIP51,PCIP12,FAMINC,WDRAW_ORIG_YR4_RT
157818,NULL,0.6667,0.1598,0.0052,0.0515,0.0412,0,0,0,0,0.0361,0.0412,0,0,96571.78196,0.077348066
157827,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,17481.82105,0.18128655
157863,970,0.1316,0.2273,0,0,0.0091,0,0,0.0909,0,0.1727,0.0364,0.1364,0,47410.24118,0.343537415
157951,1047,0.2732,0.158,0.1151,0.0289,0.0215,0,0,0,0.0185,0.0803,0.0663,0.1479,0,55815.13524,0.264761012
158088,NULL,NULL,0.0744,0,0,0,0.1197,0,0.0021,0.0149,0,0,0.3499,0.0085,16891.98737,0.121278141
158158,NULL,NULL,0,0,0,0.1389,0.4167,0,0,0,0,0,0.4444,0,10916.03615,0.209302326
158246,NULL,NULL,0,0,0,0,0,0,0,0.424,0,0,0.576,0,17514.97907,0.176165803
158325,NULL,NULL,0,0,0,0,0,0,0,0,0,0,1,0,45448.51685,PrivacySuppressed
158334,NULL,NULL,0,0,0,0,0,0,0,0,0,0,1,0,45448.51685,PrivacySuppressed
158343,NULL,NULL,0,0,0,0.8571,0,0,0.1429,0,0,0,0,0,27794.97222,0.25
158352,NULL,NULL,0.028,0,0,0.002,0.1401,0,0,0.034,0.002,0,0.0511,0.1592,14495.4938,0.219047619
158431,NULL,NULL,0.13,0.2043,0.0364,0.0529,0.0107,0,0.045,0.1071,0.0064,0,0.225,0.0214,25991.9103,0.363445378
158440,NULL,NULL,0,0,0,0,0,0,0,0,0,0,1,0,11501.36434,0.162650602
158477,1114,0.4604,0.1429,0,0.0902,0,0,0,0,0,0,0.0677,0,0,70478.66793,0.112107623
158538,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,15293.75807,PrivacySuppressed
158617,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,14143.64667,0.098748262
158644,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,25286.49425,0.1875
158662,NULL,NULL,0.1013,0.2792,0.0151,0.0139,0.0154,0,0.0305,0.1042,0.0026,0.0014,0.3256,0.08,22691.88761,0.44569951
158723,NULL,NULL,0.2593,0,0,0.0988,0,0,0,0,0,0,0.5062,0,20149.66234,0.246478873
158778,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,15461.26316,PrivacySuppressed
158787,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,38620.91346,0.158730159
158802,888,0.2586,0.1042,0,0.0833,0.0052,0,0,0.0052,0,0,0.0677,0.3229,0,33642.53261,0.156316917
158884,NULL,NULL,0.0954,0.128,0,0,0.0085,0,0,0.3527,0.0024,0,0.2138,0.0399,22486.23684,0.266033254
159009,871,0.1945,0.13,0,0.0333,0.055,0,0,0.1817,0.03,0.09,0.0667,0.0367,0,26414.48823,0.249131944
159027,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,34515.60825,PrivacySuppressed
159197,NULL,NULL,0.0114,0,0,0.0455,0.0379,0,0,0.8295,0,0,0.0455,0,40349.43611,0.295321637
159319,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,17699.10345,PrivacySuppressed
159328,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,15137.45833,PrivacySuppressed
159373,NULL,NULL,0,0,0,0,0,0,0,0,0,0,1,0,57022.4625,0.049242424
159382,950,0.1233,0.1292,0.2062,0,0,0,0,0.0492,0,0.0523,0.0308,0.3046,0,43486.18332,0.283112583
159391,1163,0.3817,0.2127,0.0095,0.0323,0.011,0,0,0,0,0.0996,0.0731,0.0209,0,76302.02562,0.128496261
159407,NULL,NULL,0.1242,0.3727,0,0.0404,0,0,0.1801,0.0062,0,0,0.2391,0,41212.94909,0.303094984
159416,1029,0.142,0.2242,0.1385,0.0462,0.0396,0,0,0.0374,0,0.0901,0.022,0.0967,0,38102.78097,0.268998794
159513,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,29362.05306,0.10625
159522,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,38230.90164,PrivacySuppressed
159531,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,36793.12,PrivacySuppressed
