UNITID,SAT_AVG,C100_4
127820,NULL,NULL
127839,NULL,NULL
127884,NULL,NULL
127909,NULL,NULL
127918,1092,0.561
127945,NULL,0.3893
127954,NULL,NULL
128106,970,0.1757
128151,NULL,NULL
128179,NULL,NULL
128188,NULL,NULL
128258,NULL,NULL
128328,1341,0.7714
128337,NULL,NULL
128391,1029,0.1867
128498,NULL,0.491
128540,NULL,NULL
128577,NULL,NULL
128586,NULL,NULL
128674,NULL,NULL
128683,NULL,0.1333
128726,NULL,NULL
128744,926,0.2517
128771,1011,0.2514
128780,NULL,NULL
128896,NULL,NULL
128902,NULL,0.7908
129002,NULL,NULL
129020,1250,0.6984
129154,NULL,0.1136
129181,NULL,NULL
129215,NULL,0.4386
129242,NULL,0.783
129349,NULL,NULL
129367,NULL,NULL
129428,NULL,NULL
129482,NULL,NULL
129491,NULL,NULL
129525,1050,0.4881
129534,NULL,0.6
129543,NULL,NULL
129695,NULL,NULL
129729,NULL,NULL
129756,NULL,NULL
129774,NULL,0.3362
129808,NULL,NULL
129923,NULL,NULL
129932,NULL,NULL
129941,1066,0.4428
129969,NULL,NULL
130004,NULL,NULL
130040,NULL,NULL
130110,NULL,0.7222
130174,NULL,NULL
130183,893,0.2201
130217,NULL,NULL
130226,1095,0.7074
130253,NULL,0.5799
130314,932,0.4457
130396,NULL,NULL
130448,905,NULL
130493,918,0.2264
130509,NULL,NULL
130581,NULL,NULL
130590,NULL,0.8098
130606,NULL,NULL
130624,1274,0.8388
130697,NULL,0.9153
130776,NULL,0.2555
130785,NULL,NULL
130794,1498,0.8774
130837,NULL,NULL
130873,NULL,NULL
130907,NULL,NULL
130934,892,0.2233
130943,1198,0.6525
130989,NULL,0.3421
131061,NULL,NULL
131098,836,0.1073
131113,NULL,0.0828
131159,1252,0.7623
131283,NULL,0.6162
131399,NULL,0.1158
131405,NULL,NULL
131450,883,0.2417
131469,1294,0.7555
131496,1416,0.8961
131520,1105,0.3981
131742,NULL,NULL
131803,NULL,0.0667
131830,NULL,NULL
131876,NULL,0.1975
131973,NULL,NULL
132268,NULL,NULL
132338,NULL,0.3154
132374,NULL,NULL
132408,946,0.4444
132471,926,0.1574
132602,NULL,0.2541
132657,999,0.3713
132666,NULL,NULL
132675,NULL,NULL
132693,NULL,NULL
132709,NULL,NULL
132806,NULL,NULL
132842,NULL,0.25
132851,NULL,NULL
132879,943,0.2727
132903,1179,0.4046
132976,NULL,NULL
133021,NULL,NULL
133155,NULL,NULL
133386,NULL,NULL
133465,NULL,0.0625
133492,1134,0.5972
133508,NULL,NULL
133526,781,0.0909
133553,NULL,0.3129
133650,966,0.1137
133669,1047,0.199
133702,NULL,NULL
133711,1071,0.4982
133809,1008,0.0785
133845,NULL,NULL
133854,NULL,NULL
133863,NULL,NULL
133872,928,0.1538
133881,1194,0.4126
133942,NULL,NULL
133951,1090,0.2811
133960,NULL,NULL
133979,NULL,0.1303
133997,NULL,NULL
134024,NULL,NULL
134079,1172,0.4614
134097,1215,0.616
134112,NULL,NULL
134130,1280,0.6635
134149,NULL,0.0909
134228,NULL,NULL
134237,NULL,0.4302
134291,NULL,NULL
134307,NULL,NULL
134343,NULL,NULL
134422,NULL,NULL
134495,NULL,NULL
134510,NULL,0
134529,NULL,NULL
134574,NULL,NULL
134608,NULL,NULL
134680,NULL,0.1603
134714,NULL,NULL
134811,NULL,0.2172
134909,NULL,NULL
134945,NULL,0.2812
135063,NULL,0
135081,NULL,0.5676
135124,NULL,NULL
135142,NULL,NULL
135160,NULL,NULL
135179,NULL,NULL
135188,NULL,NULL
135267,NULL,NULL
135276,NULL,NULL
135294,NULL,NULL
135337,NULL,NULL
135364,NULL,0
135391,NULL,NULL
135407,NULL,NULL
135522,NULL,NULL
135559,NULL,NULL
135610,NULL,NULL
135647,NULL,NULL
135717,NULL,NULL
135726,1319,0.6816
135735,NULL,NULL
135771,NULL,NULL
135939,NULL,0.625
136048,NULL,NULL
136066,NULL,0.0833
136109,NULL,NULL
136145,NULL,NULL
136172,1140,0.2647
136215,1130,0.3105
136233,NULL,NULL
136288,NULL,0.1333
136303,NULL,NULL
136330,1065,0.3359
136358,NULL,NULL
136400,NULL,NULL
136473,NULL,NULL
136491,NULL,NULL
136516,NULL,NULL
136659,NULL,NULL
136701,NULL,NULL
136765,NULL,NULL
136774,NULL,0.6426
136783,NULL,NULL
136826,NULL,NULL
136950,NULL,0.6444
137023,NULL,NULL
137032,NULL,0.3113
137078,NULL,NULL
137087,NULL,NULL
137096,NULL,NULL
137120,NULL,NULL
137148,NULL,0.75
137209,NULL,NULL
137245,NULL,NULL
137272,NULL,0.4
137281,NULL,NULL
137315,NULL,NULL
137351,1177,0.4272
137476,924,0.2716
137546,NULL,0.5717
137564,955,0.2194
137591,NULL,NULL
137713,NULL,NULL
137759,NULL,NULL
137777,NULL,0.4
137801,NULL,0.6
137810,NULL,0
137847,1092,0.4713
137856,NULL,NULL
137865,NULL,NULL
137953,845,0.25
137962,898,0.0968
138132,NULL,NULL
138187,NULL,NULL
138275,879,0.2727
138284,NULL,NULL
138293,890,0.2706
138309,NULL,0.0494
138354,1053,0.2712
138372,NULL,NULL
138479,NULL,NULL
138488,NULL,NULL
138497,NULL,NULL
138558,933,0.0323
138600,NULL,0.6134
138655,NULL,NULL
138664,NULL,NULL
138682,NULL,NULL
138691,NULL,NULL
138716,883,0.0886
138761,NULL,NULL
138789,997,0.1142
138813,NULL,0.1707
138822,NULL,NULL
138840,NULL,NULL
138868,910,0.3878
138901,NULL,NULL
138929,NULL,NULL
138938,NULL,NULL
138947,850,0.2603
138956,NULL,NULL
139010,NULL,NULL
139074,NULL,0
139092,NULL,NULL
139144,1179,0.5536
139153,NULL,0.027
139199,990,0.239
139205,NULL,0.0745
139214,NULL,NULL
139250,935,0.1176
139278,NULL,NULL
139287,NULL,0.125
139311,NULL,0.1404
139348,NULL,NULL
139357,NULL,NULL
139366,961,0.1135
139384,NULL,NULL
139393,1189,0.5018
139463,NULL,0.0533
139506,NULL,NULL
139579,NULL,0.0333
139621,NULL,NULL
139630,930,0.2201
139658,1380,0.8291
139700,NULL,NULL
139719,865,0.1199
139746,NULL,NULL
139755,1403,0.4009
139764,967,0.1126
139861,1143,0.3947
139931,1089,0.2447
139940,1056,0.239
139959,1252,0.6163
139968,851,NULL
139986,NULL,NULL
139995,NULL,NULL
140003,NULL,NULL
140012,NULL,NULL
140146,NULL,NULL
140234,1012,0.4061
140243,NULL,NULL
140252,NULL,0.098
140331,NULL,NULL
140340,NULL,0.102
140447,1217,0.4682
140553,978,0.4063
140562,NULL,NULL
140678,NULL,NULL
140696,1140,0.4335
140720,749,0.0584
140818,995,0.3723
140827,NULL,NULL
140872,953,0.2117
140942,NULL,NULL
140951,1064,0.5162
140960,847,0.0785
140988,969,0.3153
141006,NULL,NULL
141015,NULL,NULL
141060,1015,0.6927
141167,NULL,0.15
141185,997,0.3533
141237,938,0.2588
141255,NULL,NULL
141264,993,0.1519
141325,1030,0.5556
141334,945,0.1559
141361,974,0.5294
141486,966,0.2786
141565,926,0.1174
141574,1067,0.2122
141608,NULL,NULL
141644,NULL,0.2181
141680,NULL,NULL
141796,NULL,NULL
141802,NULL,NULL
141811,NULL,NULL
141839,NULL,NULL
141848,NULL,NULL
141936,NULL,NULL
141945,NULL,NULL
141981,NULL,0.0976
141990,NULL,NULL
142054,NULL,NULL
142090,1045,0.24
142115,1046,0.1548
142179,NULL,NULL
142276,NULL,0.1326
142285,1061,0.2919
142294,NULL,0.5505
142328,939,0.0845
142337,NULL,NULL
142407,NULL,NULL
142416,NULL,NULL
142443,NULL,NULL
142461,1056,0.3612
142489,NULL,NULL
142522,1040,0.1873
142559,NULL,NULL
142832,NULL,NULL
142869,NULL,NULL
142878,NULL,NULL
142887,NULL,0.5047
142957,780,NULL
143048,1155,0.3814
143084,NULL,0.7045
143118,990,0.4185
143181,NULL,NULL
143215,NULL,NULL
143233,NULL,NULL
143279,NULL,NULL
143288,1005,0.3151
143297,NULL,NULL
143303,NULL,NULL
143358,1163,0.5289
143376,NULL,NULL
143464,NULL,NULL
143473,NULL,NULL
143482,NULL,NULL
143491,NULL,NULL
143516,NULL,NULL
143543,NULL,NULL
143552,NULL,NULL
143613,NULL,NULL
143659,NULL,NULL
143695,NULL,NULL
143853,NULL,NULL
143978,NULL,NULL
144005,875,0.0221
144014,NULL,NULL
144050,1506,0.8561
144157,NULL,NULL
144166,NULL,NULL
144175,NULL,NULL
144184,NULL,NULL
144193,NULL,NULL
144209,NULL,NULL
144218,NULL,NULL
144281,NULL,0.2949
144351,1047,0.4652
144467,NULL,NULL
144485,NULL,NULL
144564,NULL,NULL
144573,NULL,NULL
144740,NULL,0.5648
144795,NULL,NULL
144865,NULL,NULL
144883,NULL,0
144892,1010,0.3177
144944,NULL,NULL
144962,1090,0.5428
144971,1033,0.3846
145099,NULL,NULL
145239,NULL,NULL
145275,NULL,NULL
145309,NULL,NULL
145336,911,NULL
145354,NULL,NULL
145372,1022,0.4506
145406,NULL,NULL
145424,NULL,NULL
145433,NULL,NULL
145460,NULL,0.3182
145497,1048,0.1066
145521,NULL,NULL
145558,NULL,NULL
145600,1092,0.3378
145619,NULL,0.3459
145628,NULL,NULL
145637,1305,0.7097
145646,1249,0.7834
145682,NULL,NULL
145691,NULL,0.6205
145707,NULL,NULL
145725,1251,0.3794
145770,NULL,0
145813,1090,0.4778
145831,NULL,NULL
145886,NULL,NULL
146010,NULL,0.0979
146205,NULL,NULL
146241,NULL,NULL
146278,NULL,NULL
146296,NULL,NULL
146339,1086,0.4043
146348,NULL,NULL
146366,NULL,NULL
146393,NULL,0.1348
146418,NULL,NULL
146427,NULL,0.6899
146472,NULL,NULL
146481,NULL,0.6554
146490,NULL,NULL
146506,NULL,NULL
146533,NULL,NULL
146603,NULL,NULL
146612,1051,0.4479
146667,1013,0.3016
146676,824,0.1053
146685,NULL,NULL
146700,NULL,NULL
146719,1195,0.6373
146728,NULL,NULL
146755,NULL,NULL
146807,NULL,NULL
146816,NULL,NULL
146825,922,0.1979
146977,NULL,NULL
147004,NULL,NULL
147013,1006,0.3344
147031,NULL,NULL
147129,1030,NULL
147165,NULL,0
147244,1069,0.4787
147341,1070,0.4841
147369,NULL,0.5912
147378,NULL,NULL
147396,NULL,NULL
147411,NULL,NULL
147439,NULL,NULL
147536,NULL,NULL
147590,NULL,NULL
147642,NULL,NULL
147660,1125,0.5258
147679,1014,0.3407
147697,NULL,NULL
147703,1029,0.2523
147749,NULL,NULL
147767,1460,0.8242
147776,870,0.0502
147800,NULL,NULL
147819,NULL,NULL
147828,1078,0.5123
147916,NULL,NULL
147970,NULL,NULL
148007,NULL,NULL
148016,1080,0.7117
148098,NULL,NULL
148131,1010,0.3266
148140,NULL,NULL
148177,NULL,0.2738
148256,NULL,NULL
148292,NULL,NULL
148335,NULL,0.6576
148380,NULL,NULL
148399,NULL,NULL
148405,1007,0.2472
148487,1038,0.2526
148496,1010,0.4765
148511,NULL,NULL
148575,NULL,NULL
148584,1069,0.4126
148593,NULL,NULL
148627,990,0.2991
148654,1068,0.3415
148672,NULL,NULL
148821,NULL,NULL
148849,NULL,0.5789
148876,NULL,NULL
148885,NULL,NULL
148937,NULL,NULL
148955,NULL,NULL
148982,NULL,NULL
148991,NULL,NULL
149028,NULL,NULL
149222,1032,0.2615
149231,1070,0.2632
149310,NULL,NULL
149329,NULL,0
149365,NULL,NULL
149499,NULL,NULL
149505,1097,0.5124
149514,1042,0.329
149532,NULL,NULL
149550,NULL,NULL
149639,1107,0.4667
149727,NULL,NULL
149763,NULL,NULL
149772,970,0.3154
149781,1314,0.8081
149842,NULL,NULL
150048,NULL,NULL
150066,1050,0.4351
150075,NULL,NULL
150136,1070,0.4055
150145,1026,0.5769
150163,1209,0.5307
150172,NULL,0.121
150215,NULL,NULL
150251,NULL,NULL
